 14  15
 7	4	14	1	10	6	0	6	8	3	11	6	13	3	4	5	6	7	9	2	12	6	1	4	5	3	3	9	2	5
 4	8	14	5	3	6	0	7	10	5	6	4	5	7	12	1	7	2	13	4	1	8	11	7	2	4	8	6	9	10
 11	5	14	4	3	8	0	9	8	1	1	7	7	9	9	4	4	11	10	3	12	5	2	3	5	6	6	7	13	2
 13	5	1	5	8	5	0	3	11	8	14	9	10	7	7	1	5	5	6	7	3	3	2	2	9	8	4	5	12	4
 5	9	3	3	12	5	6	4	14	3	7	1	11	6	13	1	8	6	4	8	2	4	9	6	10	2	0	4	1	6
 4	3	7	2	3	9	10	10	5	4	8	1	13	8	12	3	6	3	2	8	1	5	11	5	14	5	9	6	0	4
 9	2	14	3	13	5	7	6	5	10	8	5	4	7	6	2	11	8	3	5	12	4	2	1	1	3	0	8	10	7
 10	1	7	5	0	9	2	7	1	9	3	6	8	9	9	5	13	6	4	8	5	6	12	10	14	8	6	9	11	8
 2	6	3	8	0	6	13	6	11	8	14	3	6	4	7	3	9	9	4	9	12	5	8	6	1	9	10	2	5	9
 14	7	12	5	4	9	6	5	10	7	0	8	5	10	11	1	3	3	7	5	8	6	13	4	2	5	1	1	9	6
 5	5	0	1	4	4	14	7	1	8	11	3	7	8	3	8	10	6	2	6	13	9	12	3	6	8	9	1	8	4
 11	4	5	9	3	6	14	6	13	5	4	4	2	6	8	4	0	5	9	6	6	6	12	2	1	7	10	4	7	6
 8	7	3	10	9	3	7	5	1	6	10	5	6	4	2	4	12	7	11	7	0	10	5	5	4	3	13	5	14	3
 2	8	10	3	0	2	9	7	8	1	1	7	11	2	4	6	12	4	5	8	6	3	3	9	13	2	7	7	14	2
