 10  15
 7	1	14	3	10	6	0	7	8	3	11	6	13	3	4	5	6	7	9	2	12	6	1	4	5	3	3	9	2	5
 4	8	14	5	3	10	0	10	10	10	6	4	5	7	12	1	7	2	13	4	1	8	11	10	2	4	8	6	9	11
 11	5	14	4	3	8	0	9	8	1	1	7	7	9	9	4	4	11	10	3	12	5	2	3	5	6	6	7	13	2
 14	5	1	5	8	5	0	3	11	8	13	9	10	10	7	1	5	5	6	7	3	3	2	2	9	11	4	5	12	4
 5	9	3	3	12	5	6	4	14	3	7	1	11	11	13	1	8	6	4	10	2	4	9	3	10	2	0	4	1	6
 4	3	7	3	3	9	10	10	5	4	8	1	13	8	12	3	6	3	2	8	1	5	11	5	14	5	9	6	0	4
 9	2	14	3	13	5	7	6	5	10	8	5	4	7	6	2	11	8	3	11	12	4	2	1	1	3	0	8	10	7
 12	1	7	5	0	9	2	7	1	9	3	6	8	9	9	5	13	6	4	8	5	6	10	8	14	8	6	9	11	8
 2	6	3	8	0	6	13	6	11	8	14	3	6	10	7	3	9	9	4	9	12	5	8	6	1	12	10	2	5	9
 14	7	12	5	4	9	6	5	10	7	0	8	5	10	11	1	3	3	7	5	8	6	13	9	2	10	1	1	9	10
